classe,prevalência,iou,precisão,recall,especificidade,f1_score,acc_balanceada
Classe_1,0.7445956,0.5542437164112926,0.8191103022545576,0.6322743720375001,0.5948065,0.7105107088065257,0.6135404193773866
Classe_2,0.0003291592,0.0,0.0,0.0,0.9999995,0.0,0.4999997727572918
Classe_3,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Classe_4,0.00019756705,0.0,0.0,0.0,1.0,0.0,0.5
Classe_5,0.00034622848,0.0,0.0,0.0,0.99999857,0.0,0.4999992996454239
Classe_6,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Classe_7,4.952401e-05,0.0,0.0,0.0,1.0,0.0,0.5
Classe_8,4.6417117e-06,0.0,0.0,0.0,1.0,0.0,0.5
Classe_9,0.009001829,0.0,0.0,0.0,0.9999564,0.0,0.4999782214872539
Classe_10,0.060394228,0.5079344650730491,0.5106823644600809,0.9842028934508562,0.948725,0.6633849952290923,0.9664639374241233
Classe_11,0.0060793087,0.011037079588277265,0.017875566171824175,0.04222358427068684,0.9528325,0.02153068095979103,0.4975280403159559
Classe_12,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Classe_13,0.0013768822,0.001119800302205931,0.0015294672366508166,0.00423991724028383,0.9934484,0.002225670650317266,0.4988441332243383
Classe_14,0.0018991381,0.0036923386373928224,0.10648251084421645,0.0037892929522058694,0.99978006,0.0072810601811318055,0.501784679479897
Classe_15,0.0051693916,0.07703522504016291,0.15971960246679373,0.2486512374598533,0.9721633,0.13650810141950245,0.6104072872549295
Classe_16,8.195639e-08,0.0,0.0,0.0,1.0,0.0,0.5
Classe_17,0.0010660738,0.00019557345331122633,0.09375,0.00019557345331122633,0.9999894,0.00038947642887565996,0.5000924696214497
Classe_18,0.003036663,0.012479662043006101,0.09107918292193062,0.014828166347797378,0.99881697,0.024391850374228374,0.5068225776776671
Classe_19,0.03968613,0.05696538214397151,0.5511570518137887,0.05742291017668322,0.9989063,0.10187425664486666,0.5281646121293306
Classe_20,3.6358833e-06,0.0,0.0,0.0,1.0,0.0,0.5
Classe_21,3.514439e-05,0.0,0.0,0.0,1.0,0.0,0.5
Classe_22,0.13418186,0.1418374580098316,0.681678207591176,0.15242094593122602,0.9885284,0.2457056443817636,0.5704746441915631
