Classe,IoU,Precision,Recall,F1-Score
Classe_1,0.5543252061077841,0.8214966501424608,0.6302369687334943,0.7132679877947768
Classe_2,0.0,0.0,0.0,0.0
Classe_3,0.0,0.0,0.0,0.0
Classe_4,0.0,0.0,0.0,0.0
Classe_5,0.0,0.0,0.0,0.0
Classe_6,0.0,0.0,0.0,0.0
Classe_7,0.0,0.0,0.0,0.0
Classe_8,0.0,0.0,0.0,0.0
Classe_9,0.0,0.0,0.0,0.0
Classe_10,0.5541264363623201,0.5571889778640076,0.990178359662427,0.7131034172786226
Classe_11,0.005541690810997577,0.006234546445775659,0.04749747662329008,0.01102229942592331
Classe_12,0.0,0.0,0.0,0.0
Classe_13,0.0013297403336456715,0.0016030723830274278,0.007738478265693297,0.002655948916423701
Classe_14,0.005616314770372956,0.052174777221982806,0.00625444263981161,0.011169895870361336
Classe_15,0.039412341396584435,0.04468524083554308,0.25037497826746774,0.07583581570769399
Classe_16,0.0,0.0,0.0,0.0
Classe_17,0.00017352073572791938,0.020542317173375468,0.00017496833073213738,0.0003469812613369575
Classe_18,0.014926172770717696,0.05125877771304158,0.020623847958959572,0.02941331724494807
Classe_19,0.056412741418276624,0.6878564190309747,0.057894828040978286,0.10680056988895399
Classe_20,0.0,0.0,0.0,0.0
Classe_21,0.0,0.0,0.0,0.0
Classe_22,0.14718882152270857,0.6811763259361079,0.15807913538366572,0.25660783777478074
