class,prevalence,iou,precision,recall,specificity,f1_score,balanced_acc
Class_1,0.7445323,0.5540949767455459,0.8188985520973802,0.6321835448034108,0.59462017,0.7103358121067314,0.613401853479445
Class_2,0.00032956898,0.0,0.0,0.0,0.99999964,0.0,0.4999998211860657
Class_3,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Class_4,0.00019544363,0.0,0.0,0.0,1.0,0.0,0.5
Class_5,0.00034460425,0.0,0.0,0.0,0.9999988,0.0,0.49999941140413284
Class_6,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Class_7,4.913658e-05,0.0,0.0,0.0,1.0,0.0,0.5
Class_8,4.656613e-06,0.0,0.0,0.0,1.0,0.0,0.5
Class_9,0.009001188,0.0,0.0,0.0,0.9999563,0.0,0.49997815815731883
Class_10,0.060389183,0.5069434279575944,0.5098120756447315,0.9833888923749328,0.94878757,0.6622927174702329,0.9660882260650396
Class_11,0.006082833,0.011130131905702001,0.018091935745360388,0.04219139475026168,0.9527761,0.021698744288582948,0.49748374382033944
Class_12,0.0,0.0,0.0,0.0,1.0,0.0,0.5
Class_13,0.0013777539,0.0011287975139566697,0.0015452962634299183,0.004225986573146656,0.99343693,0.0022430624778668013,0.4988314565271139
Class_14,0.0019011423,0.003680287618408329,0.10580280526119168,0.003776256463424943,0.99978447,0.007257120272000998,0.5017803721129894
Class_15,0.0051723123,0.07710960069380235,0.16004936194804031,0.2490261192433536,0.9721427,0.13673484212069187,0.6105844220146537
Class_16,1.1920929e-07,0.0,0.0,0.0,1.0,0.0,0.5
Class_17,0.001066789,9.386407873535063e-05,0.09375,9.386407873535063e-05,0.9999911,0.00018743503748188038,0.5000424887984991
Class_18,0.0030371025,0.012544313759462966,0.09147314218716929,0.014929191972441913,0.9988168,0.024515193290991645,0.5068729952909052
Class_19,0.0397572,0.05701086382032372,0.5499027089681476,0.05746957887458848,0.99890304,0.10189680396785579,0.5281863175332546
Class_20,3.7923455e-06,0.0,0.0,0.0,1.0,0.0,0.5
Class_21,3.5122037e-05,0.0,0.0,0.0,1.0,0.0,0.5
Class_22,0.13431177,0.14148874615784734,0.6807034024968743,0.15201999223791063,0.98853815,0.24496121484693692,0.5702790711075068
